Clapeyron Database File,,,,
SAFTgammaMie Unlike Parameters [csvtype = unlike,grouptype = SAFTgammaMie]
species1,species2,epsilon,lambda_r,source
CH3,CH2~|~CH2OE,350.77,,
CH3,CH,387.48,,
CH3,C,339.91,,
CH3,aCH,305.81,,
CH3,aCCH2,396.91,,
CH3,aCCH,455.85,,
CH3,CH2=,333.48,,
CH3,CH=,252.41,,
CH3,cCH2~|~cCH2_5,355.95,,
CH3,COOH,255.99,,
CH3,CH3COCH3,233.48,14.449,
CH3,COO,402.75,,
CH3,H2O,358.18,100,
CH3,CH3OH,275.76,15.537,
CH3,CH4,193.97,12.628,
CH3,CO2,205.7,,
CH3,OH,314.67,,
CH3,CH2OH,333.2,,
CH3,CHOH,479.38,,
CH3,NH2,244.15,,
CH3,NH,530.87,,
CH3,N+,462.18,,
CH3,cNH,583.72,,
CH3,cN~|~cN_5~|~cN_2,710,,
CH3,C=,281.4,,
CH3,aCCH3~|~aCCH3_5,358.58,,
CH3,aCOH,413.25,,
CH3,cCH,690.17,,
CH3,cCHNH,406.97,,
CH3,cCHN,761.79,,
CH3,aCCOOH,370.75,,
CH3,aCNHaC,647.64,,
CH3,CH3CO,344.57,,
CH3,[CH3][OCH2],301.77,,
CH3,[CH2][OCH2],261.63,,
CH3,aCNH2,458.84,10.215,
CH3,aN~|~aN2,564.54,11.042,
CH3,aN_5,960.87,8.1231,
CH3,afC,476.07,8.5539,
CH3,afCp,217.3,67.497,
CH3,cCHOH~|~cCHOHn,281.09,,
CH3,cC=O~|~cC=O_2,442.07,90.455,
CH3,cyO~|~cO,379.50,21.085,
CH3,cNH_5,460.19,25.161,
CH2,CH,506.21,,
CH2,C,300.07,,
CH2~|~CH2OE,aCH,415.64,,
CH2,aCCH2,454.16,,
CH2,aCCH,345.8,,
CH2,CH2=,386.8,,
CH2,CH=,459.4,,
CH2~|~CH2OE,cCH2~|~cCH2_5,469.67,,
CH2,COOH,413.74,,
CH2,CH3COCH3,299.48,11.594,
CH2,COO,498.86,,
CH2,H2O,423.63,100,
CH2,CH3OH,341.41,17.05,
CH2,CH4,243.13,12.642,
CH2,CO2,276.45,,
CH2,OH,396.27,,
CH2,CH2OH,423.17,,
CH2,CHOH,517.64,,
CH2,NH2,348.39,,
CH2,NH,394.58,,
CH2,N+,348.3,,
CH2~|~CH2OE,cNH,429.49,,
CH2~|~CH2OE,cN~|~cN_5~|~cN_2,508.54,,
CH2,C=,286.58,,
CH2~|~CH2OE,aCCH3~|~aCCH3_5,569.18,,
CH2,aCOH,484.02,,
CH2~|~CH2OE,cCH,522.57,,
CH2,cCHNH,309.95,,
CH2,cCHN,893.5,,
CH2,aCCOOH,323.72,,
CH2,aCNHaC,347.75,,
CH2,CH3CO,431.49,,
CH2,[CH3][OCH2],408.05,,
CH2,[CH2][OCH2],353.78,,
CH,C,2,,
CH,aCH,441.43,,
CH,aCCH2,65.41,,
CH,aCCH,67.51,,
CH,CH2=,426.76,,
CH,CH=,502.99,,
CH,cCH2,570.45,,
CH,COOH,504.99,,
CH,CH3COCH3,637.29,,
CH,COO,353.65,,
